ingredient,category
계란,단백질
달걀,단백질
계란10구,단백질
특란,단백질
왕란,단백질
메추리알,단백질
두부,단백질
순두부,단백질
연두부,단백질
부침두부,단백질
찌개두부,단백질
콩나물,단백질
숙주,단백질
닭가슴살,단백질
훈제닭가슴살,단백질
삶은계란,단백질
우유,유제품
서울우유,유제품
저지방우유,유제품
초코우유,유제품
딸기우유,유제품
치즈,유제품
슬라이스치즈,유제품
모짜렐라치즈,유제품
요거트,유제품
플레인요거트,유제품
그릭요거트,유제품
버터,유제품
무염버터,유제품
생크림,유제품
휘핑크림,유제품
양파,채소
깐양파,채소
적양파,채소
대파,채소
쪽파,채소
부추,채소
감자,채소
고구마,채소
당근,채소
마늘,채소
다진마늘,채소
통마늘,채소
토마토,채소
방울토마토,채소
상추,채소
깻잎,채소
배추,채소
양배추,채소
버섯,채소
새송이버섯,채소
팽이버섯,채소
느타리버섯,채소
오이,채소
애호박,채소
브로콜리,채소
청양고추,채소
파프리카,채소
소고기,육류
한우,육류
불고기,육류
소불고기,육류
차돌박이,육류
돼지고기,육류
삼겹살,육류
목살,육류
앞다리살,육류
뒷다리살,육류
항정살,육류
닭고기,육류
닭다리살,육류
닭봉,육류
닭날개,육류
닭볶음탕용,육류
햄,육류
스팸,육류
베이컨,육류
소시지,육류
비엔나소시지,육류
새우,해산물
냉동새우,해산물
칵테일새우,해산물
오징어,해산물
손질오징어,해산물
고등어,해산물
삼치,해산물
갈치,해산물
참치,해산물
참치캔,해산물
연어,해산물
훈제연어,해산물
멸치,해산물
국물멸치,해산물
조개,해산물
바지락,해산물
홍합,해산물
어묵,해산물
맛살,해산물
쌀,탄수화물
백미,탄수화물
현미,탄수화물
밥,탄수화물
즉석밥,탄수화물
햇반,탄수화물
파스타면,탄수화물
스파게티면,탄수화물
펜네,탄수화물
라면,탄수화물
신라면,탄수화물
진라면,탄수화물
우동면,탄수화물
소면,탄수화물
당면,탄수화물
식빵,탄수화물
모닝빵,탄수화물
베이글,탄수화물
또띠아,탄수화물
밀가루,탄수화물
부침가루,탄수화물
튀김가루,탄수화물
간장,조미료
진간장,조미료
양조간장,조미료
국간장,조미료
고추장,조미료
초고추장,조미료
된장,조미료
쌈장,조미료
소금,조미료
맛소금,조미료
설탕,조미료
올리고당,조미료
물엿,조미료
식용유,조미료
카놀라유,조미료
올리브유,조미료
참기름,조미료
들기름,조미료
후추,조미료
고춧가루,조미료
다시다,조미료
미원,조미료
치킨스톡,조미료
케첩,조미료
마요네즈,조미료
돈까스소스,조미료
굴소스,조미료
콜라,기타
사이다,기타
생수,기타
탄산수,기타
주스,기타
오렌지주스,기타
커피,기타
아메리카노,기타
녹차,기타
김치,기타
배추김치,기타
깍두기,기타
단무지,기타
피클,기타
